"bref_id_mlb","lon","lat"
"mcnambo01",-104.990251,39.7392358
"mcnamdi01",-71.2289641,42.4430372
"mcnamge01",-87.6297982,41.8781136
"mcnaugo01",-87.6297982,41.8781136
"mcnerje01",-93.8802273,42.0597047
"mcquaje01",-82.8498654,31.5088073
"mcquige02",-77.1067698,38.8799697
"mcquigl01",-78.358616,38.9887199
"mcwilbi01",-90.6645718,42.5005583
"meadch01",-110.8586257,53.3540161
"meadoru01",-78.458331,36.7993087
"medliir01",-87.6297982,41.8781136
"medwijo01",-74.2282005,40.5773266
"meekero01",-92.9076094,37.8472943
"meekssa01",-82.6501332,34.5034394
"meersru01",-87.6475212,40.0953144
"mejiaro01",-80.5716199,22.2795961
"meledu01",-74.0059413,40.7127837
"melesa01",-73.9234619,40.7643574
"mellajo01",-122.2711137,37.8043637
"meltocl01",-82.7342919,35.2334472
"meltoda01",-100.9598709,35.5361559
"meltoru01",-81.0717324,35.2359757
"mendomi01",-82.6355143,22.8791038
"meolami01",-74.0059413,40.7127837
"merensp01",-74.171811,40.9167654
"merewar01",-71.3700545,41.8137116
"merrill01",-119.7029194,36.8252277
"merrill02",-90.1994042,38.6270025
"mersoja01",-76.7135814,39.2126073
"mertzji01",-84.1052256,40.742551
"merulle01",-71.0588801,42.3600825
"mesnest01",-118.2436849,34.0522342
"methasc01",-118.2436849,34.0522342
"methebu01",-90.1994042,38.6270025
"metkoca01",-120.5385299,38.0677832
"metroch01",-78.8333571,40.4722936
"metziwi01",-94.1680158,42.4974694
"metzlal01",-119.7725868,36.7468422
"meyerbo01",-83.555212,41.6639383
"meyerdu01",-97.1466695,31.549333
"meyerge01",-87.6297982,41.8781136
"meyerja01",-75.1652215,39.9525839
"meyerru01",-89.1289728,41.3275349
"micelmi01",-73.8642613,40.7449859
"michaca01",-83.0457538,42.331427
"michage01",-81.3578859,41.1536674
"michajo02",-73.1951767,41.1865478
"michara01",-79.9489413,40.5042354
"mickeed01",-88.8425769,41.3455892
"mickegl01",-79.5436153,43.6376729
"middljo01",-96.8791613,31.7562739
"midkidi01",-97.4524926,29.5016257
"mierked01",-83.1499239,42.2142064
"miggila01",-73.8654295,40.8370495
"mihaljo01",-81.6943605,41.49932
"mikkepe01",-74.1502007,40.5795317
"mikloha01",-87.6297982,41.8781136
"miksied01",-74.8648873,40.071222
"milesca01",-93.6166074,40.0789018
"milesde01",-87.3047221,33.34067
"milesdo01",-86.158068,39.768403
"millebi03",-91.3584816,39.7083789
"millebi04",-76.2621697,40.6906451
"millebo02",-83.0457538,42.331427
"millebo03",-87.7936685,41.8505874
"millebo04",-90.1994042,38.6270025
"milleed03",-79.9958864,40.4406248
"milleha02",-96.1946983,33.2942791
"millela01",-95.6890185,39.0558235
"milleot02",-89.9839935,38.5200504
"milleox01",-96.7213641,30.7851923
"millero02",-93.2010367,43.1535728
"milleru01",-82.6826386,39.95734
"milleru02",-85.5872286,42.2917069
"millest01",-72.6412013,42.3250896
"millewh01",-90.1994042,38.6270025
"millibo01",-80.5197936,39.9656315
"millijo02",-73.5817825,43.1000755
"milliwa01",-87.6297982,41.8781136
"millsar01",-75.232664,43.100903
"millsbi01",-71.0588801,42.3600825
"millsbu01",-98.6789477,32.4698522
"millsle01",-71.1676536,42.2436085
"milnaal01",-81.6943605,41.49932
"milnepe01",-88.0398912,30.6953657
"milosmi01",-89.0520194,37.8994945
"milstge01",-97.3866837,32.3476438
"minarru01",-79.5597219,40.607222
"minchdo01",-86.5861037,34.7303688
"minnepa01",-80.3328428,41.1222812
"minnido01",-79.1422464,37.4137536
"minosmi01",-82.345189,23.0540698
"miranwi01",-76.3492569,21.0823543
"mitchda01",-98.6767351,35.3486655
"mitchmo01",-88.8183872,33.4503998
