"bref_id","lon","lat"
"kim---004hye",11.9351673,47.2042437
"kimbre001cra",-86.5861037,34.7303688
"kingha001nic",-95.3698028,29.7604267
"kinsle001ian",-110.926479,32.2217429
"kipnis001jas",-87.8289548,42.1275267
"kluber001cor",-86.80249,33.5206608
"knebel001cor",-97.1330683,33.2148412
"koehle001tom",-73.8654295,40.8370495
"kontos001geo",-87.7300594,42.0044757
"krol--001ian",-87.9370052,41.8008642
"kubitz000kyl",-97.1080656,32.735687
"lackey002joh",-99.7331439,32.4487364
"lafrom001bob",-118.1331593,33.9401088
"lagare001jua",-70.7376623,18.9114821
"lamb--002jac",-122.3320708,47.6062095
"lamb--003joh",-118.0467306,33.846404
"lastel000tho",-74.0326395,40.9912087
"latos-001mat",-77.0469214,38.8048355
"law---001der",-79.9958864,40.4406248
"lawrie001bre",-122.5593218,49.0743308
"layne-001tho",-90.1994042,38.6270025
"lazo--000rau",-83.6880257,22.4133651
"leake-001mik",-117.1610838,32.715738
"lee---001zac",-96.6988856,33.0198431
"lee---004cli",-92.586828,34.5645371
"lemahi001dj-",-119.2920585,36.3302284
"leon--001ale",-107.3940117,24.8090649
"leone-000dom",-72.0759105,41.5242649
"lester001jon",-122.4442906,47.2528768
"lewis-001col",-119.0187125,35.3732921
"libera001ada",-118.1170117,33.8816818
"lincec001tim",-122.2006786,47.610377
"lind--001ada",-85.6802541,40.1053196
"lindgr000jac",-88.8853078,30.3960318
"lindor000fra",-66.035249,18.2387995
"lirian001fra",-70.1030668,18.4188797
"liz---001rad",-69.0389048,18.7653036
"lobato001jos",-69.1804708,9.5503646
"lobste001kyl",-111.651302,35.1982836
"locke-001jef",-71.1284041,44.0536805
"logan-001boo",-98.4936282,29.4241219
"lohse-001kyl",-121.8374777,39.7284944
"loney-001jam",-95.3698028,29.7604267
"longor001eva",-118.1331593,33.9401088
"lopez-006jor",-66.166,18.1119051
"lorenz001mic",-117.9145036,33.8352932
"loup--001aar",-90.5989759,29.7274331
"lowe--001mar",-95.3698028,29.7604267
"lowrie001jed",-123.0350963,44.9428975
"lucroy001jon",-81.6853534,28.8527675
"lugo--000jac",-93.7501789,32.5251516
"lyles-001jor",-80.0734005,34.3740431
"lyons-001tyl",-101.8551665,33.5778631
"machad001man",-80.2781057,25.8575963
"madson001rya",-118.1937395,33.7700504
"maeda-001ken",135.3945178,34.4938385
"mahtoo001mic",-92.0198427,30.2240897
"maldon001mar",-65.7348841,18.2116247
"maness001mic",-79.4694767,35.1954345
"manshi002jef",-98.4936282,29.4241219
"marcum001sha",-94.5785667,39.0997265
"mariot001mic",-118.6439809,34.1973122
"marisn001jac",-117.3961564,33.9533487
"markak001nic",-73.6337389,40.8623217
"marsha000eva",-122.0363496,37.36883
"marte-000ket",-70.1976733,18.244409
"marte-001sta",-69.9312117,18.4860575
"martin003cod",-120.6265722,36.9860582
