bref_id_mlb,lon,lat
aasedo01,-117.8531119,33.7877944
abbotgl01,-92.2895948,34.7464809
abbotji01,-83.6874562,43.0125274
abbotku01,-82.0131924,39.9403453
abbotky01,-70.8772751,42.8125913
abbotpa01,-118.451357,34.1898566
abnersh01,-84.5613355,39.3995008
abregjo01,-97.396381,27.8005828
ackerji01,-98.6177929,27.8827965
acostcy01,-107.3022001,25.7394009
acosted01,-82.4481944,8.7772318
acrema01,-122.0310733,37.9779776
adamsbo04,-79.9958864,40.4406248
adamsdo01,-90.5667926,43.1883183
adamsgl01,-71.6494407,42.1516323
adamsmi01,-117.1610838,32.715738
adamsmi02,-84.5120196,39.1031182
adamsri02,-117.6483876,34.09751
adducji01,-87.6297982,41.8781136
adkinst01,-87.6297982,41.8781136
adlesda01,-118.1937395,33.7700504
afenitr01,-117.086421,33.1192068
ageeto01,-87.6680606,32.1357021
agostju01,-66.0404057,18.3894791
aguaylu01,-66.38767,18.4443908
aguilri01,-118.1058333,34.0961111
ahearpa01,-122.4194155,37.7749295
aikenwi01,-82.9532036,34.6856555
aingeda01,-123.0867536,44.0520691
akerfda01,-104.990251,39.7392358
akerja01,-119.3473379,36.2077288
albagi01,-70.6930568,19.4791963
alberbu01,-77.0010786,41.2411897
alberjo01,-66.1057217,18.4663338
alburvi01,-81.7799871,24.5550593
alcalsa01,-69.2996732,18.4720698
alcarlu01,-65.8273847,18.1496828
aldremi01,-121.9232879,36.5552386
aldresc01,-83.6874562,43.0125274
aldrija01,-92.4451371,31.3112936
alexado01,-4.7793835,37.8881751
alexaga01,-118.2436849,34.0522342
alexage01,-91.1403196,30.4582829
alexama01,-93.7501789,32.5251516
alicelu01,-66.0641969,18.4481441
allanan01,-77.4360481,37.5407246
allarbr01,-89.1998076,41.3275352
allendi01,-80.3381195,40.8881184
allenga01,-118.3964665,34.0211224
allenha02,-80.3381195,40.8881184
allenja02,-120.5058987,46.6020711
allenki01,-117.435048,34.0922335
allenll01,-120.4829677,37.3021632
allenne01,-94.6274636,39.114053
allenro01,-80.3381195,40.8881184
allenro02,-118.2436849,34.0522342
alleyge01,-77.4360481,37.5407246
alliebo01,-70.934205,41.6362152
allisda01,-78.1944446,38.9181671
allrebe01,-111.8314724,33.4151843
almonbi01,-71.4128343,41.8239891
alomaro01,-66.6140616,18.0110768
alomasa01,-66.2605176,18.0022251
alomasa02,-66.2605176,18.0022251
alouje01,-70.03245,18.423482
aloumo01,-84.3879824,33.7489954
alstode01,-73.7751326,41.0748188
altampo01,-86.1217424,12.734087
alvarcl01,-64.591805,10.2343685
alvarjo01,-82.4571776,27.950575
alvarlu01,-67.0593449,18.049962
alvaror01,-65.8322841,18.3450502
alyeabr01,-74.1284764,40.8567662
amarari01,-119.2920585,36.3302284
amaroru02,-75.1652215,39.9525839
amelued01,-117.9242966,33.8703596
anderal02,-82.5993294,39.7136754
anderbr01,-77.026088,38.9906657
anderbu01,-73.5876273,40.7556561
anderda02,-85.7584557,38.2526647
anderdw01,-122.2711137,37.8043637
anderji01,-118.2436849,34.0522342
anderke01,-79.7625625,34.1954331
anderla01,-118.185349,33.9866807
anderla02,-122.6764816,45.5230622
andermi01,-79.7625625,34.1954331
andermi02,-97.7430608,30.267153
anderri01,-118.3531311,33.9616801
anderri02,-122.2020794,47.9789848
