bref_id_mlb,lon,lat
abbated01,-79.3794811,40.3211808
abbeybe01,-73.1112433,44.4905054
abbeych01,-95.6019294,40.0608352
abbotfr01,-84.484396,40.2225481
abbotod01,-79.9469943,40.2078486
ablesha01,-96.2752569,32.7359626
abramge01,-122.3320708,47.6062095
abstebi01,-90.1994042,38.6270025
acostjo01,-82.345189,23.0540698
acostme01,-82.5483422,22.9838485
adamsba01,-86.041098,40.2822598
adamsbe01,-96.1027371,29.3116366
adamsge01,-71.8022934,42.2625932
adamsjo01,-88.8622895,39.2483753
adamska01,-84.9877094,32.4609764
adamsri01,-95.555513,33.6609389
adamssp01,-76.346341,40.6570334
adamssp02,-111.9710529,41.0602216
adamswi01,-78.4391876,41.0272796
adkindo01,-88.4448195,42.778903
adkingr01,-92.1101458,34.8662005
aglerjo01,-81.8595756,40.2720151
agnewsa01,-90.4217895,37.7808846
ainsmed01,105.318756,61.52401
aitchra01,-97.8628464,42.9933296
aitonge01,-98.1136734,37.6458491
akersje01,-85.7769238,39.5214373
albercy01,-85.6680863,42.9633599
alcocsc01,-81.935143,40.8050565
aldrivi01,-86.9038938,38.8911588
alexape01,-98.5678508,41.2855678
alexawa01,-84.3879824,33.7489954
allenbo01,-83.1285242,40.5886699
allenbo02,-90.4431807,43.1849868
allenfr01,-87.5327815,32.5931884
allenho01,-81.3031179,29.028318
allenja01,-88.4487021,42.3147436
allenmy01,-73.9973608,41.9270367
allenni01,-99.8915113,39.8338946
allenpe01,-80.6939643,40.8883931
allensl01,-91.8523711,36.7281154
allisar01,-75.1652215,39.9525839
allisdo01,-75.1652215,39.9525839
allisma01,-87.1111676,37.7719074
allismi01,-85.4164605,44.8955578
almeira01,-82.345189,23.0540698
alperwh01,-79.9489413,40.5042354
altener01,-82.0354225,41.4517093
altenje01,-84.4744347,43.186696
altizda01,-90.6259588,39.4597701
altroni01,-84.5120196,39.1031182
alvorbi01,-90.1994042,38.6270025
amesre01,-80.8184166,41.2375569
amoledo01,-75.8238355,39.9831616
anckewa01,-74.0059413,40.7127837
anderbi01,-71.0588801,42.3600825
anderda01,-75.3557457,39.849557
anderfr01,-78.5305222,35.7619753
anderge01,-81.6943605,41.49932
andergo01,-81.6943605,41.49932
anderjo01,11.1094028,59.2840729
anderva01,-88.3053525,41.8875281
anderwa01,-85.6680863,42.9633599
anderwi01,-97.1875113,32.5065277
andreed01,-81.245657,41.7244885
andreji01,-72.7392588,42.6042514
andrufr01,-83.0354679,42.7185255
andruwi01,-78.616802,43.97722
annisbi01,-71.0999719,42.4802469
appleed01,-97.1080656,32.735687
applefr01,-77.0010786,41.2411897
aragoan01,-82.345189,23.0540698
archdma01,-90.1994042,38.6270025
archeji01,-6.2603097,53.3498053
ardnejo01,-82.4857181,40.3933956
arellfr01,-122.0307963,36.9741171
arletbu01,-65.941432,45.561362
armbrch01,-84.5120196,39.1031182
armbrha01,-80.6049374,40.6414894
armstho01,-81.115654,41.5325528
arndtha01,-86.2519898,41.6763545
arundha01,-75.1652215,39.9525839
arundtu01,-76.5660529,42.9317335
asmusto01,-87.6297982,41.8781136
atherch01,-74.4518188,40.4862157
atkinto01,-96.7055917,42.5624971
attredi01,-87.6297982,41.8781136
atzja01,-77.0368707,38.9071923
aubreha01,-94.846681,39.7674578
austiji01,-3.943646,51.62144
autrych01,-88.9158953,35.8197917
ayersdo01,-80.6491003,36.7156711
babbch01,-122.6392606,45.4462305
backmle01,-84.749115,39.1617242
baconed01,-84.8732835,38.2009055
baderar01,-90.1994042,38.6270025
baderlo01,-90.3687351,40.1731015
bagbyji01,-82.8076402,33.5040235
bagwebi01,-92.5143122,32.5301484
baichgr01,-88.2436522,39.2736491
bailebi01,-94.3985475,35.3859242
bailebi02,-82.2115368,39.6047915
bailefr01,-81.1642682,37.8953906
bailege01,-99.095033,28.8921939
baileha01,-83.9357756,41.8597702
baileki01,-77.0934012,37.5732401
bailesw01,-88.0817251,41.525031
bairdal01,-97.3866837,32.3476438
bairddo01,-90.4974359,38.7881062
bakelje01,-75.0640602,39.8023363
bakerbo01,-73.6917851,42.7284117
bakerde01,-122.840098,45.3565074
bakerer01,-84.6430206,42.1778187
bakerfr01,-76.0579956,38.6584506
bakerge01,-90.1994042,38.6270025
bakerho01,-73.1951767,41.1865478
bakerje01,-122.7087533,47.1610573
bakerje02,-81.6943605,41.49932
bakerki01,-84.9013402,39.0570022
bakerph01,-75.1652215,39.9525839
bakertr01,-118.7885967,45.672075
baldwhe01,-75.5913178,39.8717773
baldwki01,-84.4957757,39.091449
baldwla01,-78.1355648,42.366177
baldwma01,-79.9958864,40.4406248
baldwo.01,-84.8463945,43.1769772
balenmi01,-98.1186665,35.6011602
ballar01,-85.3799577,38.7358933
ballepe01,-82.2784175,34.9730693
ballji01,-76.3637285,39.5838964
ballne01,-86.2283864,43.0630734
ballowi01,-84.1946571,36.7439722
