"bref_id_mlb","lon","lat"
"mccarto01",-71.0588801,42.3600825
"mccarto02",-85.1393513,41.079273
"mccaual01",-86.158068,39.768403
"mccauji01",-77.0959499,42.8249242
"mccaupa01",-72.2398566,42.2598457
"mccheha01",-79.9958864,40.4406248
"mcclebi01",-87.6297982,41.8781136
"mccleha01",-84.2941013,38.3903526
"mccleje01",-84.2326876,32.0723861
"mcclojo01",-75.8374174,41.3117471
"mccluha01",-76.8844101,40.9645293
"mccluha02",-83.3618725,41.5633831
"mccolal01",-80.8359207,41.7167218
"mcconam01",-72.6738769,44.9964042
"mcconge01",-86.4602717,35.483406
"mcconsa01",-75.1652215,39.9525839
"mccorba01",-83.744365,38.6411854
"mccorbi01",-74.1312662,44.329496
"mccorha01",-76.1474244,43.0481221
"mccorji01",-4.251806,55.864237
"mccorji02",-71.9922867,42.2439682
"mccormi01",-74.0776417,40.7281575
"mccormo01",-75.1652215,39.9525839
"mccoyar01",-76.6127329,40.96342
"mccreed01",-105.1185988,38.3902777
"mccrefr01",-74.0776417,40.7281575
"mccreto01",-80.3047846,40.6953437
"mccrewa01",-91.4579698,42.4857853
"mccuefr01",-87.6297982,41.8781136
"mcculpa01",-80.347009,41.0036719
"mccurha01",-89.574563,44.5235792
"mcdermi02",-90.1994042,38.6270025
"mcderre01",-75.1652215,39.9525839
"mcdoned01",-88.2825668,42.0354084
"mcdoned02",-73.7562317,42.6525793
"mcdonji01",-122.4194155,37.7749295
"mcdonjo01",-75.6118548,41.4514694
"mcdonjo02",-94.7976958,29.3013479
"mcdonte01",-96.3599821,33.1634493
"mcdoude01",-90.7493063,41.1997568
"mcdousa01",-78.8783689,42.8864468
"mcelrji01",-122.2653887,38.5024689
"mcelvpr01",-84.3879824,33.7489954
"mcelwle01",-117.0230839,32.7678287
"mcfadba01",-75.8624195,40.9934181
"mcfadgu01",-95.6890185,39.0558235
"mcfaral01",-90.1994042,38.6270025
"mcfarch02",-90.403177,39.4369917
"mcfarda01",-97.1333453,33.6259414
"mcfared01",-81.6943605,41.49932
"mcfarhe01",-93.6091064,41.6005448
"mcfarmo01",-90.403177,39.4369917
"mcfetja01",-75.1652215,39.9525839
"mcgafpa01",-89.3725796,38.6103264
"mcganam01",-76.6121893,39.2903848
"mcganda01",-85.2235666,38.2120144
"mcgarch01",-71.8022934,42.2625932
"mcgeaja01",-71.6829081,42.4167635
"mcgeami01",-75.1652215,39.9525839
"mcgeeco01",-75.8963099,40.9956401
"mcgeeda01",-75.8963099,40.9956401
"mcgeefr01",-82.9987942,39.9611755
"mcgehpa01",-90.8967682,31.4723928
"mcgilbi01",-97.5375375,38.3819523
"mcgilbi02",-122.6764816,45.5230622
"mcgilwi01",-84.3879824,33.7489954
"mcgingu01",-81.1764961,39.9881261
"mcginji01",-71.0314451,42.7603688
"mcginjo01",-90.0186555,41.3811562
"mcglojo01",-73.9441579,40.6781784
"mcglyst01",-76.3055144,40.0378755
"mcgovar01",-66.0633081,45.2733153
"mcgrabo01",-105.0077747,37.5050118
"mcgraho01",-82.1832024,39.3334053
"mcgrajo01",-76.0285349,42.7120125
"mcgresl01",-97.151931,29.2877469
"mcguide01",-80.6495194,41.0997803
"mcguiji01",-79.3339324,42.4795019
"mcguijo01",-8.24389,53.41291
"mcguito01",-87.6297982,41.8781136
"mcgunbi01",-71.0588801,42.3600825
"mchalbo01",-121.4943996,38.5815719
"mchalji01",-75.8334292,41.2674911
"mchalma01",-71.0999719,42.4802469
"mchenau01",-83.5121359,38.7028515
"mcilvir01",-5.93012,54.597285
"mcinnst01",-70.6619888,42.6159285
"mcintfr01",-83.4810481,42.537811
"mcintha01",-84.1916069,39.7589478
"mcintma01",-71.9058854,41.3358915
"mcivoot01",-96.1108066,33.1384488
"mcjamdo01",-79.6502105,33.6293606
"mckayre01",-97.6083551,32.0187622
"mckeaed01",-82.0545892,41.2725522
"mckecbi01",-79.8819942,40.4417355
"mckeere01",-82.2115368,39.6047915
"mckelru01",-79.8828275,40.4236801
"mckenki01",-79.1422464,37.4137536
"mckenli01",-82.3048542,36.4192723
"mckeola01",-74.0059413,40.7127837
"mckinal01",-71.0588801,42.3600825
"mclaned01",-71.3031132,42.3667625
"mclarpo01",-96.2474785,33.3795549
